క్రియ,అర్థం,Primary sense-type,Secondary sense-type
పెచ్చులెచ్చు,మిక్కిలి యధికమగు,,
పెటపెటమను-పెటపెటలాడు,పెటపెట అను ధ్వనికలదియగు,,
పెటపెటలాడు-పెటపెటమను,పెటపెట అను ధ్వనికలదియగు,,
పెటిలిం(ట్లి o)చు,"పెటులజేయు, ధ్వనికలుగుపట్లు పగుల్చు",,
పెటిలిపడు,"కాకచేవేగు, తపించు",,
పెటిలు,"పెట్లు, చప్పుడగునట్ట్లు పగులు",,
పెటులు(ట్లు)-పెడులు,"1.చిటులు, పగులు, బ్రద్ధలగు, 2. ధ్వనించు, శబ్ధించు, 3.ఉష్టముచేత ఉబుకు, ప్రేలు",,
పెట్టించు,"పెట్టజేయు, 1.ఇప్పించు, 2.విడిపించు, 3.నెలకొల్పు, స్థాపించు, 4.నాటించు, పాతు, 5.కట్టించు, నిర్మింపజేయు, 6.వ్రాలు చేయించు, 7.ఉంచునట్లు చేయు",,
పెట్టిపోయు,అన్నాదులొసగి పోషణము చేయు,,
పెట్టు,"1.ఇచ్చు, ఒసగు, ఆహారమిచ్చు, 2.ఇడు, వైచు, వేయులవతెనే ఇది సందర్భమును బట్టి పెక్కర్ధముల నిచ్చును, 3.వడ్డించు,4.చెల్లించు, 5.పొందించు, పఱుచు, 6.ఆరోపించు, మోపు, 7.అమర్చు, తీర్చు, 8.అలదు, రాచు, 9.ఆభరణాదుల ధరించు, 10.ధరింపజేయు, 11.కలిగించు, 12.దిగవిడుచు, విడుచు, 13.ప్రసవించు, 14.పక్షులు గ్రుడ్లను పొదివి పిల్లలను చేయు, 15.ఒప్పగించు, 16.ఉంచు 17.నెలకొల్పు, నిలుపు, 18.నియోగించు, పనుచు, 19.గ్రుచ్చు, నాటు, 20.చేయు, కావించు, 21.నిర్ణయించు, 22.కట్టు, నిర్మించు, 23.కల్పించు, పన్ను, 24.నిర్ధేశించు, చూపు, 25.మూయు 26.ప్రహరించు, కొట్టు, చఱచు, 27.కొన్ని సకర్మధాతువుల క్త్వార్ధకరూపముల కనుప్రయుక్తమై ""అత్యంతము, పూర్తిగా"" అను నర్ధములిచ్చును, 28.పలుకు, ఉచ్చరించు ",,
పెట్టుకొను,"1.తాల్చు, ధరించు, నగలు పెట్టుకొను, పువ్వులు పెట్టుకొను, 2.వహించు, 3. ఉంచుకొను",,
పెట్టువడు,దెబ్బతిను,,
పెట్టెవెట్టు,పెట్టెవలె చుట్టుకొను,,
పెట్రకొలికికట్టు,పెడఱెక్కలు విఱిచికట్టు,,
పెట్లు,"1.బ్రద్దలగు, చీలు, చీటులు, పగులు, 2. కాలి ధ్వనిపూర్వకముగ పగులు, 3.పొగిసె దిక్కులు మెకంబులయంగములు",,
పెడబాపు,పెడదాయునకు ప్రేరణార్ధకము,,
పెడబాయు,ఎడబాయు,,
పెడమరలు(ర్లు),ప్రక్కకుగాని వెనుకకు గాని మరలు,,
పెడమఱించు,వెడమఱునట్ట్లు చేయు,,
పెడమఱు,"వెనుకకు దిరుగు, వెనుక మొగమగు, ప్రక్కకుదిరుగు ",,
పెడమువెట్టు,కోపాదులచే మొగము ప్రక్కకు ద్రిప్పుకొను,,
పెడమొగమగు,"మాఱుమొగము వెట్టుకొను, పరాజ్మఖమగు",,
పెడమోమువడు,"మాఱుమొగము పెట్టు, పరాజ్మఖమగు",,
పెడయాకులబెట్టు,విడిచిపెట్టు,,
పెడరేచు,"మిక్కిలి ప్రోత్సహించు, పురికొల్పు",,
పెడవెట్టు,పరబ్ముఖమగు,,
పెడులు-పెటులు,"బ్రద్ధలగు, చీలు",,
పెదవెత్తు,"పలుకు, మాటాడు",,
పెద్దగజూచు,ఆదరించు,,
పెద్దనిద్దు(దు)రవోవు,"చచ్చు, మరణించు",,
పెనగబడు,"1.మెలిగొను, పెనవేసికొను, 2.అలముకొనబడు, దట్టముగా గప్పబడు",,
పెనగప్పు,"పెనగొను, దట్టమగు",,
పెనగాడు-పెనగులాడు,"మెలిగొను, పెనవేసికొను",,
పెనగు,"1.పెనగొను, మెలిగొను, చిక్కుపడు, 2.కూడు, కలయు,3.కలియు, సంభోగించు,4.పోరు, యుద్ధముచేయు, 5.వివాదపడు, తగవులాడు, 6.ఎదురాడు, మారాడు, 7.పెంకితనము చేయు, 8.గుంజులాడు, లాగులాడు, 9.శ్రమపడు, ప్రయాసపడు, 10,అడ్డపడు, 11.అంటు, పట్టు, నాటు, 12.అలముకొను, వ్యాపించు, 13.ప్రబలు, అతిశయించు, 

1. చుట్టుకొను, 2.కూడు, కలియు, 3.తాలపడు, తాకు






  



















",,
పెనగులాడు-పెనగాడు,"1.మల్లాడు, పోరు, గుంజులాడు, 2. మెలిగొను, చిక్కుపడు",,
పెనగువడు,"చేరు, కలియు",,
"పెనుగొను, పెంగొను, పెనలుగొను","1.మెలిగొను, పిరిగొను, అల్లుకొను, 2.దట్టమగు, అతిశయించు, 3.ఒండొంటితో కలియు, 1.చుట్టుకొను, ఆవరించు, 2.కలియు, కూడు",,
పెనగొల్పు,పనగొనజేయు,,
పెనచు,"1.పెనవేయు, మెలిపెట్టు, 2.నిర్మించు, 3.గట్టిగాగట్టు, బంధించు, 4.కూర్చు, చేర్చు, కలుపు, 5.మెలివేసి పట్టుకొను",,
పెనపు,"1.కలుపు, కూర్పు, చేర్చు, 2.పెనచు",,
పెనయు,"కలియు, కూడు, పెనగు ",,
పెనవెట్టు,"పిరిపెట్టు, మె;లివేయు",,
వెనవేయు-పెనవైచు,"1.మెలిపెట్టు, 2.పశువుల నొకదానితో నొకటి జేర్చి బంధించు, లంకెవేయు ",,
పెనవైచు-పెనవేయు,మెలిపెట్టు,,
పెనుచు(న్చు)-పెంచు,"1.వర్ధిల్లజేయు, 2.ఉబికించు, ఉబ్బించు, 3. రక్షించు, సాకు",,
పెనుపడు,"అతిశయిల్లు, వర్ధిల్లు",,
పెన్నాటకముసేయు,"విస్తరించి చెప్పు, అతిశయముగావచించు",,
పెరువు(ర్వు)-పెరుగు,"ఎదుగు, వర్ధిల్లు, 1. ఏండ్లు చెల్లినవాడు, వృద్ధుడు, వృద్ధురాలు, 2. పెరిగినది, వృద్ధిపొందినది",,
పెర్కు-పెఱుకు,"ఊడబీకు, ఊడదీయు",,
పెఱికించు,"1.పెల్లగింపజేయు, 2.ఊడదీయించు, పీకించు, 3. మోయించు",,
పెఱుకు-పెర్కు,"1.పెల్లగించు, ఉన్మూలించు, 2.ఊడబీకు, ఊడదీయు, దూయు, పైకిలాగు,3.పీకు, లాగు, 4.మోయు, వహించు, 5.మోయించు, మోయించితెచ్చు",,
పెఱగు-పెరుగు,ఎదుగు,,
పెలరు,తొలగు,,
పెలుకు(ల్కు) ఱు,"విహ్వలించు, భయపడు, 2.దిగులుపడు, బెంగపట్టికొను",,
పెల్లగిల్లు(లు),"1.పెకలు, ఉన్మూలితమగు, 2.ఊడు, ఊడిపోవు, 3.పాఱిపోవు, పలాయితమగు, 4.చలించు, కలగు, క్షోభించు, 5.పేడెత్తు, పగులు, 6.నశించు, చెడు, 7.వినబడు, బయలుపడు",,
పెల్లారు,అతిశయించు,,
పెల్లుకొను,"అతిశయిల్లు, విస్తరిల్లు",,
పెల్లుమీఱు,"అతిశయించు, అగ్గలమగు",,
పెల్లెత్తు,అతిశయించు,,
పేడు-పేను,పేను,,
పేటనపెట్టు,"1.చిక్కు కలిగించు, బాధకలిగించు, 2.ప్రయత్నించు",,
పేటాడు,"ఖండించు, త్రెంచు, 1.పెనగులాడు, 2.అతిశయించు",,
పేటిలు,"బీఅటలువాఱు, పగులు",,
పేటె(టులె)త్తు-పేడెత్తు,"1.చిటులు, బీటలువాఱు, 2.తొలగు, స్థానభ్రంశమునొందు, 3.తగ్గు, క్షీణించు, 4.అతిశయించు",,
పేట్రేగు,"చెలరేగు, విజృంభించు",,
పేడెత్తు-పేటెత్తు,"1.బీటలువాఱు, పగులు, 2.తొలగు, స్వస్థానమునుండి చలించు, 3.పోవు, నశించు.  

వీడు, వదలు",,
పేదగిలు,"కృశించు, చిక్కు",,
పేదవడు,"1.దారిద్యము నొందు, బీదయగు, 2.చిక్కు, కృశించు, 3.సన్నగిల్లు",,
పేను-పేడు,"దారము మొ,, కలిపి పురియెక్కించి యేకము చేయు, పెనవెట్టు, మెలివెట్టు",,
పేరబడు,"దట్టముగా గూడు, సంఘీభవించు",,
పేరగు,"ప్రసిద్ధికెక్కు, విఖ్యాతమగు, గొప్పదగు",,
పేరడుగు,"రూపఱు, నశించు",,
పేరములువాలు-పేరెములువాలు,"పరుగెత్తు, ధావనవిశేషము చేయు",,
పేరు,"1.అతిశయించు, మించు, 2.సాంద్రమగు, దట్టమగు, 3.ఘనీభవించు, గడ్డకట్టు, తోడుకొను",,
"పేరుకొ(ర్కొ,గొ)ను","1.అతిశయించు, ప్రవృద్ధమగు, 2.ఘనీభవించు, గద్దగట్టు, 3.ఖ్యాతికెక్కు, ప్రసిద్ధినొందు, 4. పెరుపెట్టు, పేరెట్టు,   

1.పెరుపెట్టి పిలుచు, పిలుచు, 2.స్తుతించు, పొగడు, 3.ఉచ్చరించు, పారాయణముచేయు, 4.వచించు, చెప్ప్య్, 5.తలపెట్టు, ప్రస్తావించు, 6.స్మరించు, తలచు",,
పేరు గ్రుచ్చు,"1.పేరు పెట్టి పిలుచు, 2.చెప్పు, వచించు, ఉచ్చరించు",,
పెరుగాంచు,"1.పేరు తాలుచు,నామమువహించు, 2.ఖ్యాతికెక్కు, ప్రసిద్ధినొందు",,
పేరుప(ర్ప)డు,"1.నామమువహించు, పేరుదాల్చియుండు, 2.ఖ్యాతికెక్కు, ప్రసిద్ధినొందు",,
పేరు పెట్టు,"1.నామకరణముచేయు, పేరుంచు, 2.మిషపెట్టు, 3.నామకార్ధము కొంతయిచ్చి వెల నిర్ణయించు",,
పెరువా(ర్వా)డు,"యద్ధాదులందు శౌర్యసూచకముగా నామము ప్రకటించు, పేరు చిప్పికొను",,
పెరువాఱు,"పేర్కొను, వాక్రుచ్చు",,
పేరెక్కు,"విఖ్యాతమగు, ప్రసిద్ధినొందు",,
పేరెము(లు)వా(ల్వా)ఱు,"1.పాఱు, పరుగెత్తు, 2.ఉఱుకు, గంతులువైచు, 3.ప్రసరించు, వ్యాపించు",,
పేరెముపె(వె)ట్టు,"పరుగిడు, పరుగెత్తు",,
పేరెలువాఱు,"పరుగులిడు, గంతులువేయు",,
పేరొందు,"ప్రసిద్ధికెక్కు, ఖ్యాతిగాంచు",,
పేర్కను,"ఖ్యాతికెక్కు, ప్రసిద్ధినొందు",,
పే(రుచు)ర్చు,"1.అతిశయించు, వర్ధిల్లు, 2.చెలరేగు, విజృంభించు, 3.ఉబ్బు, పొంగు, 4.ఉప్పొంగు, అంతోషించు.   

1.ఒకదానిమీదనొకటి యేర్పఱుచు, అమరుచు, 2.కూడబెట్టు, నులువచేయు, 3.అధికముగజేయు ",,
పేలు-ప్రేలు,"1.వేడిచే, వేగిపగులు, 2.వేడిమిచే బయలు దేఱిన చిన్న చిన్న పొక్కులు కలిగియుండు, 3.ధ్వనించు, 4.ఉపయోగము లేనిమాటలు అతిమాత్రముగా మాటలాడు, వదరు",,
పేలుచు(ల్చు)-ప్రేలుచు,పేలజేయు,,
పైడిముడుచు,1.గర్భాదానము చేయు,,
పైదేలు,"బహిర్గతమగు, వెలువడు",,
పైబడు,"1.పూను, చలపట్టు, 2.దాపరించు, ప్రార్తించు",,
పైబెట్టు,మోపు,,
పైకొను-పయికొను,"1.మీఱు, అతిశయించు, 2.విజృంభించు, చెలరేగు, 3.ఎదుర్కొను, కవియు, పయిబడు, 4.యత్నించు, కడగు, 5.కలుగు, సంభవించు, 6.ఉండు, 7.చలపట్టు, 8.పడు, ప్రసరించు, మీదబడు, మీదగు, 9.సోకు, వ్యాపించు.   

1.కవుంగలించు, ఆలింగనము చేయు, 2.ఆక్రమించు, ఆవరించు, 3.పొందు, కూడు, 4.మీఱు, అతిక్రమించు",,
పైకొలుపు(ల్పు)-పయికొలుపు,పైకొనజేయు,,
పైచేయు-పైకొను,"అంటు, సోకు",,
పైనడుచు,"దండెత్తిపోవు, మీదకి నడుచు",,
పైనము(ముల)గు-పయనమగు,"1.బయలుదే`ౠ, 2.దాడివెడలు, దండెత్తు",,
పైపడు-పయిపడు,"1.మీఱు, 2.పైకొను, కవియు, సంభవించు, 3.కడగు, ఉద్యమించు.  

పొందు, రతియందు గూడు, ఎదిరించు, ఎదుర్కొను",,
ఫైవచ్చు,"మీదికి వచ్చు, ఉపద్రవకం మగు",,
పైవెట్టు,"బయలుపఱుచు, ప్రకటించు",,
పై(పయి)వోవు,"ఉన్మార్గగామియగు, త్రోవతప్పినడుచు",,
పొంకపడు,"పొందుపడు, చక్కపడు",,
పొంకించు-పొంకపఱచు,"1.కూర్చు, అమర్చు, 2.ఆయత్తముచేయు, సిద్ధముచేయు, 3.చేర్చు, కలుపు, 4.రచించు, కూర్పు.  

శోభించు, ప్రకాశించు",,
పొంగలించు,"నిక్కబొడుచుకొను, ఉబుకు",,
పొంగారు-పొంగు,"1.ఉబుకు, ఉబ్బు, 2.నిక్కు, పైకి పొడుచుకొని వచ్చు, 3.అతిశయించు, మెండుకొను, నిండుగానుండు, 4.వ్యాపించు, ప్రసరించు, 5.విజృఒభించు, చెలరేగు, 6.సంతోషించు, ఆనందపడు",,
పొంగు-పొంగారు,"1.డబ్బు, ప్రమాణాధిక్యమునొందు, 2.అతిశయించు, మించు, పెరుగు, 3.వ్యాపించు, ప్రసరించు, 4.సంతోషపడు, ఆనదించు, వికాసమొందు, 5.విజృంభించు",,
పొంగుడువడు,"ఉల్బణతనొందు, పొంగు, అతిశయించు",,
పొగులెత్తు,"ఉడికిపొంగు, తాపముచే మబుకు",,
పొంచి(చు)కొను,"దాగి సమయమునకై నిరీక్షించియుండు, కనుపెట్టుకొను",,
పొంచియుం(చుం)డు,"ఏదేనుద్దేశముతో కనబడుకుండ మఱుగున సమయమునకై కనుపెట్టికొని యుండు, దాగియుండు",,
పొచులిడు,"పొంచు, దాగియుండు",,
పొంజు-పోజు,శుభ్రముచేసి సన్నముగాదీయు,,
పొంగించు,పొందజేయు,,
పొందు-ఒందు,"1.ప్రాపించు, పడయు, అనుభవించు, 2.రతియందు కలియు, 3.కలియు, (సమష్టిగా) కూడు, 4.ఆశ్రయించు, అంటు, తాకు, 5.చేరు, ప్రాపించు, 6.వలచు, ప్రేమించు.   

1.స్నేహించు, మైత్రి గలిగియుండు, 2.కూడుకొను, ఏకమగు, 3.పొసగు, అనుకూలపడు, 4.సంక్రమించు, చేరు, 5.సంగమించు, (రతియందు) కూడుకొను, 6.ప్రవేశించియుండు, ఉండు, 7.కలుగు, ప్రాప్తించు, 8.తగులుకొను, చిక్కు, 9.(కన్ను) మూతపడు, విమీలితమగు












",,
పొందుచేయు,"ఏర్పఱచు, సిద్ధపఱుచు",,
పొందుప(వ)డు,"అనుకూలించు, సరిపడు, 2.పొసగు, సందర్భశుద్ధి కలిగియుండు, 3. తగు, ఉచితమగు, 4. సిద్ధించు, సమకూరు, 5.నచ్చు, విశ్వాసపాత్రమగు, 6.సార్ధకమగు, 7. తేఱుకొను, స్వస్థమగు, 8. వ్యాపించు, నెరయు  ",,
పొందుపఱు(ఱ)చు,"1.చేర్చు, కూర్చు, 2. సవరించు, చక్కజేయు, తీర్చు, 3.అమర్చు, సిద్ధపఱుచు, 4.ఉంచు, పెట్టు, 5.నెలకొలుపు, నిలుపు",,
పొందొందు,"పొందుపడు, పొసంగు",,
పొంపడు,"కాంతిహీనమగు, చెన్నఱు",,
పొంపిరిగొను,"పంపొందు, అతిశయించు, 2.దట్టముగా నేర్పడు, సాంద్రమగు ",,
పొంపిరివోవు,"1.అతిశయించు, అధికమగు, 2.పొంగిపాఱు, వెల్లివిరియు, 3.వర్ధిల్లు, పెరుగు, 4.వ్యాపించు, పర్వు , 5.గర్వించు, చెలరేగు, విజృంభించు, 6.ఉప్పొంగు, సంతోషించు, 7.ప్రసిద్ధి కెక్కు, 8.ఒప్పారు, శోభిల్లు, 9.పుట్టు, కలుగు ",,
పొంపుతఱుగు,"గోల్పోవు, క్షీణించు",,
పొంపెనగు-పెంపెనగు,"మించు, అతిశయించు",,
పొంపెనలారు,"ఒప్పగు, మనోజ్ఞమగు",,
పొకారుచు-పోకారుచు,"నాశముచేయు, చంపు, వధించు ",,
పొకాలు-పోకాలు,"1.వెడలు, నిర్గతమగు, 2.చచ్చు, మరణించు ",,
పొకాలుచు(ల్చు),"పొకాల జేయు, పోగొట్టు, నశింపజేయు",,
పొక్కిప(వ)డు,"1.పరితపించు, దుఃఖించు, 2.పగులు, వ్రేలిపడు, 3.మండిపడు, కోపపడు, 4.ఉలికిపడు",,
పొక్కు,"1.దుఃఖించు, శోకించు, 2.పరితపించు, వేదనపడు, 3.బొబ్బలేచినదగు, బొబ్బలెక్కు, పొడము, లేచు, 4.బయలుపడు, ప్రకటితమగు, 5.ఉలుకు, బెదరు",,
పొక్కెత్తు,ఎండుటచే పెల్లలేచు,,
పొగచు-పొగపు,"1.పొగపట్టించు, పొగగ్రమ్మజేయు, 2.తాలించు, తిరుగబోయు",,
పొగచూ(సూ)రు,"1.దూమితమగు; నిస్తేజమగు, 2.పొగవాసన వేయు, 3.పొసగు, పొందుపడు",,
పొగడించు,"పొగడ జేయు, స్తుతింపజేయు",,
పొగడు,"కొనియాడు, స్తుతించు, శ్లాఘించు, 1.స్తుతి, 2.కీర్తి, ప్రసిద్ధి ",,
పొగడువడు,వినుతి నొందు,,
పొగడ్తవడు,వినుతినొందు,,
పొగవు - పొగచు,"1.తలించు, తిరుగబోయు, 2.పక్వముచేయు, ఉడికించు",,
పొగయు-పొవయు,"పొగచిమ్ము, పొగకలదియగు, రాజు, 2.కుములు, లోలోపల తపించు, 3.ఆవిరిక్రమ్మ్, ఊష్మవంతమగు",,
పొగరించు,"అతిశయించు, అధికమగు",,
పొగరుమార్చు,చంపు,,
పొగరెక్కు,"గర్వించు, మధించు, 2.బలియు, మిక్కుటమగు, అతిశయించు  ",,
పొగవైచు,"గుగ్గిలము, పొగవచ్చునట్లు, నిప్పులమీదవేయు",,
పొగసూపు,దేవతాదులకు ధూపమువేయు,,
పొగిలించు,"పొగలజేయు, దుఃఖపెట్టు",,
పొగులు-పొవులు,"1.కుములు, ఉడుకు, 2.పరితపించు, తాపమునొందు, బాధపడు, 3.దుఃఖించు, శోకించు",,
పొచ్చువోపు,"1.కొఱతవడు, తక్కువవడు, 2.అగౌరవపడు, లాఘవమునొందు",,
పొటకరించు,"ఉద్గతమగు, పైకుబుకు, 2.స్ఫుటమగు, స్పష్టమగు, 3.వర్ధిల్లు, పెరుగు, వృద్ధినొందు",,
పొటమరించు-పొటమరిలు,"1.ఉద్గమగు, పైకివచ్చు, 2. అంకురించు, పుట్టు, 3.ఉబ్బు, ఉబుకు",,
పొటమరిల్లు(ల్లు) - పొటమరించు,"ఉద్గమగు, బయలువెడలు, పుట్టు, కలుగు",,
పొటము - పొడము,"పుట్టు, సంభవించు",,
పొటాపొటాన,"మెండుగా, అతిశయముగా",,
పొట్టపోయు,తిండిపెట్టు,,
పొట్టపోసికొను,హీనవృత్తిచే గడుపునిండించుకొను,,
పొట్లు,"పురుగుపట్టి శిధిలమగు, పాడగు",,
పొడగ(గా)నిపొంచు,"పొడగనజేయు, చూపు, కనబఱచు",,
పొడగను,చూచు,,
పొడగాంచు,చూచు,,
పొడచూ(సూ)చు,"పొడగాంచు, చూచు",,
పొడచూ(సూ)పు,"కనబడు, తోచు, ప్రత్యక్షమగు",,
పొడ(లు)పె(వె)ట్టు,"1.దొరలు, పొరలు, 2.బోరగిలబడు",,
పొడమాయించు,"రూపుమాపు, చంపు, నాళముచేయు",,
పొడమాయు,"రూపఱు, చచ్చు, నశించు",,
పొడమించు,"పుట్టించు, కావించు, 2.వెలుబరించు, వెల్లడించు",,
పొడము(డ్ము)-పొటము,"1.ఉదయించు, పొడచు, 2.పుట్టు, జనించు, 3.ఆవిర్భవించు, సంభవించు, 4.జరుగు, ఆగు, 5.కనబడు, తోచు, 6.ప్రకటితమగు, బయలుపడు ",,
పొడము తంచు-పొడతెంచు,"పుట్టు, కలుగు ",,
పొడవగు,"రూపొందు, మూర్తీభవించు ",,
పొడవడగించు,"1.పొడవడగజేయు, రూపుమాపు, చంపు, 2.పొగొట్టు, నశింపజేయు ",,
పొడవడగు,"1.రూపుమాయు, చచ్చు, 2.చెడు, నశించు, పోవు, 3.భగ్నమగు, పాడగు  ",,
పొడవడచు,"1.సం హరించు, చంపు, 2.చఱచు, పాడుచేయు",,
పొడవడు1,అగపడు,,
పొడవడు2,"ఔన్నత్యం చెడు, ఉక్కుచెడు, బలహీనమగు",,
పొడవఱు,నశించు,,
పొడవుచూ(సూ)పు,"కనబడు, తోచు, ప్రత్యక్షమగు",,
పొడవుచే(సే)యు,"నిక్కించు, పైకెత్తు",,
పొడిగించు,"పొడుగుచేయు, పెంచు",,
పొడిచే(సే)యు,"చూర్ణముచేయు, నుఱుమాడు",,
పొడిపో(వో)సికొను,పొట్టనిండించుకొను,,
పొడిబడుకొను,"శుష్కించు, నిస్సారమగు",,
పొడుగు,"1.ఉన్నతమగు, పెరుగు, హెచ్చు, బియ్యమువెల పొడిగినది, 2.ఉన్నతి, ఎత్తు, 3.ధైర్ఘ్యము, అయతి",,
పొడుచు(డ్చు),"1.గ్రుచ్చు, గ్రుచ్చిచంపు, 2.క్రుమ్ము, 3.చేధించు, నఱకు, 4.వేయు, విసరు, 5.కుట్టు, కఱచు, .క్రుక్కు, 7.చంపు, వధించు, ఆటలకాయలను చంపు, 8.పాతు, నాటు, 9.కొట్టు, మోదు, 10.ఆను, ఊను, 11.ఒరయు, రాచు, 12.ఒడ్డు, వైచు, 13. మిద్రించు, 14.పెట్టు, అనిచెప్పు, తెలుపు, 15.చేయు, 16.అపహరించు 

1.పోరు, యుద్దముచేయు, పోట్లాడు, 2. ఉదయించు, 3.పుట్టు, పొడము, 4.ఎక్కు, పాఱు
",,
పొత్తుగలయు,"1.ఒకటిగావూడు, ఏకమగు, 2.సహభోజనమునకు చేరు, 3.సమానమగు",,
పొత్తుగుడుచు,"1.సహభోజనము చేయు, 2.పనికివచ్చు",,
పొత్తుగొను,"కలియు, కూడు",,
పొత్తుచే(సే)యు,"1.స్నేహము చేయు, స్నేహించు, 2.కలియు, కూడు, మిళితమగు, 3.సమానమగు",,
పొత్తుపడు,"అమరు, అనుకూలపడు",,
పొత్తుపఱుచు,"అమర్చు, అనుకూలపఱుచు",,
పొత్తు(లు)పో(వో)వు,"పాళ్లుతెగు, సరిపడు, కుదురు",,
పొత్తువచ్చు,"సమానమగు, సరివచ్చు",,
పొత్తు(ల)వాడు,"సమష్టిగానున్నవాడు, ఉమ్మడివాడు, సమానసంబంధము కలవాడు",,
పొదకలనెత్తు,పెద్దగొంతుకతో అఱచు,,
పొదపె(వె)ట్టు,"1.అధికముగా జెప్పికొను, చెప్పుకొను, ప్రకటించు, 2.చేయు, కావించు, 3.కూడుబెట్టు, చేర్చు",,
పొదరుకొను,"గుమిగూడు, సంఘీభనించు",,
పొదలా(లియా)డు,"1.ప్రబలు, అతిశయించు, 2.కలగియాడు, సంచలించితిరుగు",,
పొదలించు-పొదల్చు,"1.వృద్ధినొందించు, వర్ధిల్లజేయు, హెచ్చించు, 2.ఉప్పొంగించు, సంతోషపెట్టు, 3.పుట్టించు, కలిగించు, 4.కడుపు, పోజేయు, 5.కావించు, ఒనర్చు",,
పొదలిపుచ్చు,"దాచు, కప్పిపుచ్చు,",,
పొదలు,"1.పెరుగు, వర్ధిల్లు, 2.పుట్టు, కలుగు, 3.నివసించు, ఉండు, ప్రకాశించు, ఉండు, 4.ప్రకాశించు, పొల్చు, ఒప్పు, 5.స్థూలమగు, ఉబ్బు, పొంగు, 6.ప్రబలు, అతిశయించు, 7.ఉద్రేకించు, విజృంభించు, 8.క్రేడించు, 9.వ్యాపించు, క్రమ్ము, 10.విఱ్ఱవీగు, మిక్కిలి గర్వించు, 11.తోచు, కనబడు, 12.ఫలించు, 13.అగు, ప్రవర్తిల్లు",,
పొదలుకొను,"1.మెండుకొను, అతిశయించు, 2.పొంగు, స్థూలమగు",,
పొదల్చు-పొదలించు,"పొదలజేయు, వర్ధిల్లజేయు",,
పొదుపు-ఒదవు,"1.కలగు, సంభవించు, 2.ఎసగు, ఒప్పు",,
పొదిగూడు,గుంపుగూడు,,
పొదిగొను2,"చుట్టుకొను, పరివేష్టించు",,
పొదురించు,"పుష్పింపజేయు, పూచునట్లుచేయు",,
పొదివించు,"పొదువజేయు, వ్యాపింపజేయు",,
పొదివిరియు,"1.గుంపు చెడు, విడిపోవు, చెదరు, 2.బిగిచెడు, ధైర్యహీనమగు",,
పొదుగుచేయు,ఈనబోవుసమయమున పశువు పెద్దపుదుగు కలదియగు,,
"పొదుగు-పొదువు1, ఒదుగు","1.క్రమ్ము, ఆవరించు, 2. కప్పు, 3.(రర్నములు) ఖైతముచేయు, చెక్కు.   

కలియు, పైబడు",,
పొదుపుచేయు,"చక్కబఱుచు, పొందువఱుచు",,
పొదురు,"పూచు, పుష్పించు",,
పొదవ(గ)బట్టు,"గట్టిగాబట్టు, బిగియబట్టు",,
పొదువు1 - పొదుగు,"1.కప్పు, అచ్చాదించు, క్రమ్ము, ఆవహించు, 2.చుట్టుకొను, పరిచేష్టించు, 3.అఱుము, ఆక్రమించు, లోపల ఉంచు, మాటుపఱుచు, 5.చెరువు, చెక్కుకొను, గట్టిగా గూర్చు, చేర్చు, 7.(యుద్ధమున) మార్కిను, తలపడు, 8.స్పృశించు, తాకు, 9.పట్టుకొను, 10. విన్యసించు, ఉంచు, 11.పక్షులు పిల్లలను జేయుటకు గ్రుడ్లనుఱెక్కలతో గప్పు, 12.(రత్నములు లోనగువాని) ఖచించు, చెక్కు, 13. చేరదీయు, వశపఱచుకొను 14.అనునయించు, బ్రతిమాలు 15.అనుకరించు.   

పుదుగు, 1.కవియు, పైబడు, పొదవు, ఇదవు, కలుగు, పుట్టు, 3.క్రమ్ము, వ్యాపించు",,
పొనరారు,"ఒప్పు, శోభిల్లు",,
పొనరు-ఒనరు,"1.కలుగు, సంప్రాప్తమగు, 2.పొందుగలిగియుండు, పొత్తుగానుండు, 3.ఒప్పు, పొసగు",,
పొనరుచు(ర్చు) - ఒనరుచు,"1.చేయు, కావించు, 2.ఉపయోగించు, వినియోగించు, 3.పొసంగజేయు, పొందుపఱుచు ",,
పొనరువడు,"పొందు పడు, అనుకూలించు",,
పొనలు,దగదగమండు,,
"పొనుగుప(వ)డు - పొనుపడు, పొంపడు, పొపడు","1. నిస్తేజమగు, కాంతిహీనమగు, చల్లారు, 2.క్షీణించు, శూన్యమగు, పాడుపడు, 4.వికలమగు, అస్వస్థమగు, 5.కష్టపడు, బాధపడు",,
పొనుగుప(వ)ఱుచు,"1.నిస్తేజముచేయు, చల్లార్చు, 2.క్రిందుపఱుచు, తక్కువచేయు",,
పొనుగువోవు,"క్షీణించు, నశించు",,
పొనుపడగు,క్షీణించు,,
పొనుపడు - పొనుగుపడు,"1.నిస్తేజమగు, కాంతిహీనమగు, 2.ఆఱు, చల్లారు, 3.బలహీనమగు, నిస్సత్వమగు, 4.ఉడుగు, నశించు, 5.విఫలమగు, వ్యర్ధమగు, 6.ప్రచ్చన్నమగు, మఱుగుపడు",,
పొరలు-పొనటు,"1. పొగచు, తిరుగబోయు, తాలించు, 2.వేచు",,
పొరపడు,ప్రమాదపడు,,
పొరపు1,"అద్దు, కలుపు, మిళితముచేయు, 2.వైరము, పొరపొచ్చెము",,
