క్రియ,అర్థం,Primary sense-type,Secondary sense-type
ఉత్తలపడు,"1.క్షుభితమగు,కలగు 2.త్వరపడు 3.వ్యత్యస్తమగు,తారుమారగు",,
ఉదరు-ఉదురు,"కంపించు 2.కదలు,చలించు 3.భయపడు,బెదరు 4.కోపించు",,
ఉదియకొ(గొ)ను,యత్నించు,,
ఉదిలకొ(గొ)ను,"చలించు,వణకు 2.సంభ్రమముపొందు, త్వరపడు 3.కులుకు,మురియు  4.ప్రసరించు, వ్యాపించు;అతిశయించు 5.పరితపించు",,
ఉదిలు,"చలించు,కదలు",,
ఉదుటేక్కు,"ఉదుటునొందు,విజ్రుంభించు",,
ఉదురు-ఉదరు,"భయపడు,బెదరు",,
ఉద్ఘాటించు,"వ్యాపించు,ప్రసరించు",,
ఉద్దించు,"పోటిచేయు,ప్రతిఘటించు,ప్రతిస్పర్థించు",,
ఉద్దిగొను,జతగూడు,,
ఉద్యమించు,"ప్రయత్నించు,కడగు",,
ఉపవడమగు,మేలుకొను,,
ఉప్పబడు,ఉప్పనగు,,
ఉప్పతిల్లు(లు),"కలుగు,పుట్టు;సంభవించు,తటస్థించు 2.అతిశయించు,ఉప్పొంగు 3.నిండు",,
ఉప్పరముదాటు,మీదికి దాటు;దాటు,,
"ఉప్పరమెగయు,ఉప్పరములు నెగయు,ఉప్పరములెగయు","ఫైకెగయు;ఎగయు,అతిశయించు",,
ఉప్పవడమగు,మేలుకొను,,
ఉప్పిరుయు,ఉప్పు పట్టు,,
ఉప్పొంగు,"పొంగు,మీదికిఉబుకు 2.అతిశయించు 3.మిక్కిలియానందించు,మిగుల సంతోషించు",,
ఉబుకు,"1.పైకిలేచు 2.ఉప్పొంగు,ఉబ్బు",,
ఉబ్బతిల్లు(లు),ఉబుకు,,
ఉబ్బరపో(వో)వు,"నివ్వెరపడు,ఆశ్చర్యపడు 2.పీడనొందు,బాధపడు",,
ఉబ్బరించు-ఉబ్బు,"పొంగు,ఉబుకు,పైకివచ్చు",,
ఉబ్బెత్తు,"ఉబుకు,ఉబ్బు,పైకిలేచు",,
ఉమియు,"నిశ్టీవనము చేయు,ఉమ్మివేయు",,
ఉమ్మగించు,"ఉక్కపెట్టు,ఉక్కగానుండు",,
ఉమ్మగిల్లు(లు),లోపల ఆవిరిచే సరిగానుడుకు,,
ఉమ్మలించు-ఉమ్మలికించు,"తపించు,దుఃఖించు,శోకించు 2.ఉక్కనొందు,తాపామునొందు",,
ఉరలు(రులు)-ఉర్లు,"పడు,రాలు 2.విడిపోవు,విరియు 3.పగులు",,
ఉరలు,"దగ్ధమగు,మండు",,
ఉరళించు,"వెలుగు,ప్రకాశించు ",,
"ఉరవడించు-ఉరవణిoచు,ఉరువడించు","వేగిరపడు 2.విజ్రుంభించు,రేగు 3.పరాక్రమించు",,
ఉరియాడు,"డోలాయనమగు,సందేహించు;కళవళపడు 2.చెదరు,చలించు",,
ఉరియు,"ఎరియు,కాలు,దగ్ధమగు:పరితపించు 2.ఉడుకు,పక్వమగు 3.(వెండ్రుకలు)తెల్లనగు,నరియు4.చలించు,రేగు",,
ఉరువడు,"నెరవేరు,నెగ్గు",,
ఉర్లు-ఉరలు,"రాలు ,దొర్లు",,
ఉఱియు,కురియు,,
ఉఱూ-ఉరు(1),.చలించు,,
,"మాను,విరమించు 2.జంకు,వెనుదీయు",,
ఉరుకు(ఉర్కు),"దుముకు 2.పరుగెత్తు,పారు 3.వెలికివచ్చు,ఉద్గతమగు",,
